Time,Sydney_Baseline_SAT_ID,Sydney_Baseline_SNR,Sydney_Baseline_RSSI,Sydney_Baseline_Thrpt,Sydney_Baseline_BER_MQAM,Sydney_Baseline_BER_QPSK,Sydney_Baseline_Latency,Melbourne_Baseline_SAT_ID,Melbourne_Baseline_SNR,Melbourne_Baseline_RSSI,Melbourne_Baseline_Thrpt,Melbourne_Baseline_BER_MQAM,Melbourne_Baseline_BER_QPSK,Melbourne_Baseline_Latency
10-Apr-2025 12:00:00,LEO35,-6.15739496462767,-69.32006507234642,78.23835391869513,0.30966874708504377,0.2431963440615354,0.0021116045394357,LEO35,19.538176443108348,-156.53559774527022,1626.5996964682924,8.360884904576033e-06,2.6474003350940825e-41,0.001989123938101961
10-Apr-2025 12:00:30,LEO35,-13.625281050749026,-69.58837660384549,15.322468558662226,0.3471647975473363,0.3841450141627977,0.0022656064200907056,LEO35,24.354963338713596,-156.53559774527022,2023.9566807412532,5.781158447016678e-14,7.09944426583195e-121,0.0018539385477571344
10-Apr-2025 12:01:00,LEO35,-17.21001725413967,-66.4056519499535,6.792302681111905,0.3565621479437395,0.4227000724941471,0.003314588008173369,LEO35,-1.857425183852803,-68.0504780416139,181.05666199693354,0.26925547235220215,0.12673923272806759,0.0019746733714706166
10-Apr-2025 12:01:30,LEO35,-15.783505479113964,-67.83773405198335,9.399241389824835,0.3532765415098383,0.4091257100454009,0.003278489876688223,LEO35,24.50905149950863,-156.53559774527022,2036.7074677408682,2.123294332465302e-14,3.698192925707074e-125,0.0018494770145275825
10-Apr-2025 12:02:00,LEO35,9.65904034449018,-156.53559774527022,839.2098606966531,0.0652129397973771,8.5404551062008e-06,0.00221484505143744,LEO35,2.0932042662137853,-68.78936797661558,347.29178977945503,0.2134875642275621,0.035962163730087426,0.0018846467380231058
10-Apr-2025 12:02:30,LEO35,-5.557847169682728,-68.24138407974584,88.50276273945731,0.30508299299430136,0.22789398493695878,0.0020714000837005484,LEO35,-1.5766126413647255,-71.49433903730716,190.44186874549297,0.2659365310743642,0.1191069068800919,0.0020571221096586526
10-Apr-2025 12:03:00,LEO35,-1.3824548473690987,-67.1391711344996,197.1439806643472,0.26358709672165515,0.11388468258118364,0.001932238894293218,LEO35,-8.967039076876908,-68.34945513704855,43.07439666383818,0.3275429092730684,0.30723973434990964,0.0021584867258048986
10-Apr-2025 12:03:30,LEO35,4.585516787042919,-69.59050606570501,488.4959838991303,0.16812145750277513,0.008249683778227317,0.0018316039092561149,LEO35,-14.735185771401618,-68.91859313743508,11.923331908344146,0.3504957910305925,0.39771266977804026,0.0032829262482040895
10-Apr-2025 12:04:00,LEO35,-1.2273423766763971,-67.69215623315384,202.62449590724006,0.26167760454886013,0.10975027992200982,0.0019431887842774108,LEO35,11.60223525582138,-156.53559774527022,987.6600064227271,0.03337501307416076,3.764347052050328e-08,0.0021812542816176473
10-Apr-2025 12:04:30,LEO35,-13.935752906467215,-67.67109414949365,14.285973957838841,0.348139500259766,0.3881026595034885,0.0022385608405656498,LEO35,20.176171543691517,-156.53559774527022,1679.0416128111756,1.884133472153222e-06,1.629829155733735e-47,0.0019718094677628373
10-Apr-2025 12:05:00,LEO35,6.354407905285092,-156.53559774527022,602.8275929959881,0.13224208030572543,0.0016450786045178046,0.0033154122270286734,LEO35,25.19005409585717,-156.53559774527022,2093.0787760527264,1.628047812005699e-16,5.1378535308676485e-146,0.0018296856596518515
10-Apr-2025 12:05:30,LEO35,-13.085382622009183,-70.55903174358873,17.302836115278232,0.34538537456693363,0.37694812879313605,0.003303284073138022,LEO35,21.099224039459024,-156.53559774527022,1755.0420335465776,1.4495283521832435e-07,2.8562240771230907e-58,0.0019463917969913733
10-Apr-2025 12:06:00,LEO35,-14.267288314615541,-69.36656357437613,13.255037130655692,0.34914287333304395,0.3921876670438865,0.003312218326525792,LEO35,0.7493731463333364,-66.25497394427121,282.4576924804809,0.23471132147570714,0.06158025423742487,0.0018507826222956389
10-Apr-2025 12:06:30,LEO35,-6.1232836702777895,-70.13810952654605,78.79253737911479,0.30941582230784503,0.24233956120810604,0.00212952689945763,LEO35,23.48017655252873,-156.53559774527022,1951.6012747794375,9.200964045867694e-12,3.10294407569905e-99,0.0018791424638111536
10-Apr-2025 12:07:00,LEO35,20.0755647736856,-156.53559774527022,1670.7667876224918,2.4171846921739847e-06,1.7897825587262027e-46,0.0019701015551992613,LEO35,-8.111186550004984,-68.77476621137109,51.811804590004435,0.32267668786303283,0.289157549330634,0.0021488998550865807
10-Apr-2025 12:07:30,LEO35,-1.6352589878433346,-68.41613563247112,188.45182036666202,0.266637359609477,0.12069364323644594,0.0019740497901864704,LEO35,-15.150589973782013,-68.08742505560527,10.851897314155728,0.351637741590012,0.4023905898957726,0.002271736219181703
10-Apr-2025 12:08:00,LEO35,4.323150488458721,-70.7027108329317,472.4579928816493,0.1732284010089488,0.01000030493460855,0.0018709044584490088,LEO35,-16.449863911208226,-66.271399367539,8.077113294115286,0.3548782671201649,0.4157318921272709,0.002263376309200115
10-Apr-2025 12:08:30,LEO35,-4.421787819732863,-65.62491068463402,111.23595723415374,0.2955320008048406,0.1976589081034312,0.001974311033713034,LEO35,-3.7972883706075775,-69.53960179524815,125.74296321366879,0.2897652223587399,0.18052186806093998,0.0020643941073101237
10-Apr-2025 12:09:00,LEO35,-15.237928025156723,-68.3906201497267,10.638996982120284,0.3518710073902124,0.403347717552772,0.0033223877286142757,LEO35,0.5010463695473099,-70.69936403638224,271.40525126664176,0.23837404389778277,0.06704175728951137,0.0019819347429751583
