thrpt,latency,ber_qpsk,loss_pct
244,4,0.0822897453641952,8
632,4,0.0010148511348115,0
248,5,0.0796679981067965,8
214,5,0.101255340549468,10
839,4,8.5404551062008e-06,0
246,4,0.0807375837565836,8
241,4,0.0841918423483219,8
214,5,0.1013779565906879,10
238,4,0.0857003675185891,9
226,4,0.0931974218908009,9
214,5,0.1012653911417452,10
214,5,0.1012559238669353,10
214,5,0.1012623303600614,10
1156,4,3.1055386940415008e-12,0
241,4,0.0836718432286985,8
248,4,0.0797015293880207,8
220,4,0.097270673579981,10
1391,4,3.280090235285661e-22,0
214,5,0.1012734526598263,10
214,5,0.1013647843757996,10
214,5,0.1012589972512847,10
214,5,0.1012759001667974,10
249,4,0.0792083261980455,8
249,4,0.0791908134085323,8
214,5,0.101660852237823,10
249,4,0.0794605363897631,8
247,4,0.0804168880421825,8
214,5,0.1012597144110324,10
602,5,0.0016703388309027,0
603,5,0.0016511591268697,0
603,5,0.0016408348789817,0
247,4,0.0803815255431791,8
897,4,1.328294185635776e-06,0
214,5,0.1013791526335152,10
247,4,0.0805241623351754,8
243,4,0.0825414029096701,8
214,5,0.1012993343689773,10
214,5,0.1018650094717324,10
249,5,0.0790353005760816,8
247,4,0.0801191462503845,8
247,4,0.080275339970025,8
217,4,0.0995038107884069,10
598,5,0.0017887769846435,0
245,4,0.0815458222451937,8
802,4,2.483794306196224e-05,0
249,5,0.0791386017518615,8
249,5,0.0792185218090212,8
214,5,0.101528760782837,10
246,4,0.0809162460464925,8
243,4,0.082966910722419,8
214,5,0.1013923285139174,10
238,4,0.0858360703421445,9
242,4,0.083145768982186,8
214,5,0.1012524828482559,10
603,5,0.0016403611762374,0
214,5,0.1015373202241367,10
249,4,0.0789987119373234,8
247,4,0.080207840570383,8
222,4,0.0962924764156122,10
214,5,0.1014227278843302,10
249,4,0.0793596600733011,8
