Time,Sydney_Best_SAT_ID,Sydney_BEST_SNR,Sydney_BEST_RSSI,Sydney_BEST_Thrpt,Sydney_BEST_BER_MQAM,Sydney_BEST_BER_QPSK,Sydney_BEST_Latency,Melbourne_Best_SAT_ID,Melbourne_BEST_SNR,Melbourne_BEST_RSSI,Melbourne_BEST_Thrpt,Melbourne_BEST_BER_MQAM,Melbourne_BEST_BER_QPSK,Melbourne_BEST_Latency
10-Apr-2025 12:00:00,LEO35,-6.101882025560553,-78.55105561817881,0.3165681052944336,0.3020005934067,0.21788996437507702,0.004823843940196011,LEO35,-0.11976130389669529,-71.61836436893398,0.9802452088555912,0.29476867807541196,0.19534125206313172,0.004017621107307073
10-Apr-2025 12:00:30,LEO35,-3.283017889821477,-79.83068987467126,0.555391817693677,0.3503147999948656,0.3969724495519238,0.004730927193889726,LEO35,-0.20082283431796422,-72.5420906906812,0.9670296193972625,0.3020421988697344,0.21802345733261588,0.004085810912436218
10-Apr-2025 12:01:00,LEO35,8.270962749474311,-156.53559774527022,2.9478114710705654,0.34249261988272134,0.3653309954122558,0.004670056888141286,LEO35,14.761123590668532,-156.53559774527022,4.950953065406063,0.005407210978177273,5.0905149619529686e-15,0.004257971475040166
10-Apr-2025 12:01:30,LEO35,7.706743243051903,-156.53559774527022,2.7860916578872836,0.3484967374615828,0.3895558166033535,0.0047036073886564935,LEO35,-1.124945338537074,-72.2618406386519,0.8252167635283469,0.29097287653149,0.18403913171809216,0.004130327016184222
10-Apr-2025 12:02:00,LEO35,-6.606898527616477,-78.12237615645827,0.2850220956423235,0.3536651781229604,0.410726544354397,0.004829570519575404,LEO35,17.95016434119601,-156.53559774527022,5.985861146979034,0.0001546490222974057,2.8839513998883314e-29,0.0040401125799153885
10-Apr-2025 12:02:30,LEO35,-6.757400068784594,-79.03706796369548,0.27618586420179664,0.35062941546844506,0.3982593821905033,0.004883689741725122,LEO35,17.685798737700374,-156.53559774527022,5.899468839088874,0.2891225690537917,0.17866574373153327,0.0040583270230712875
10-Apr-2025 12:03:00,LEO35,-3.9743563308745293,-80.09170761339833,0.4859057398828099,0.35124872246344796,0.40079555427450575,0.004784193353384292,LEO35,3.825925491308615,-78.19941954194289,1.7711231504936906,0.18685571826924527,0.01611766528057114,0.004183557602653528
10-Apr-2025 12:03:30,LEO35,-5.810797130789399,-77.95510213123929,0.33613904513375703,0.35331791380154015,0.40929606237324573,0.0047763069697211525,LEO35,2.2630211264459352,-77.26922156115121,1.4243013560767472,0.21216855289480407,0.03468427048083819,0.00423012674098831
10-Apr-2025 12:04:00,LEO35,-4.435830166651013,-81.1194504766196,0.44370732963570236,0.29222776224021496,0.1877342899793843,0.004860467194504099,LEO35,17.181901439147893,-156.53559774527022,5.73504812184861,0.29521139852122447,0.19668365646152616,0.0040929881998319284
10-Apr-2025 12:04:30,LEO35,-9.058473140647392,-79.77678703302126,0.16891013051075096,0.36429011484888296,0.45492981593460324,0.005031974368395894,LEO35,-0.13788597326215804,-72.2468670427458,0.9772794121309383,0.2838640054224846,0.16388823368115638,0.004061521964301291
10-Apr-2025 12:05:00,LEO35,-6.895380446123714,-79.64418207070332,0.2683039378165129,0.35385175951046316,0.4114955696876175,0.004920062443048907,LEO35,-0.16147976543664422,-73.36088772156829,0.9734280943089088,0.3097248819661968,0.2433867006299961,0.004138180620445799
10-Apr-2025 12:05:30,LEO35,-6.253041448838514,-79.35977502532478,0.3068120937643443,0.29559947785584917,0.19786450345356205,0.004872703288927985,LEO35,-0.3063686811676879,-75.93388155942661,0.950010515938757,0.2875351421357485,0.1741275204975707,0.004317161998055635
10-Apr-2025 12:06:00,LEO35,-4.7027453864091395,-82.01661585216,0.42075727781591643,0.35801236417472576,0.42871888443882156,0.0049158728264501435,LEO35,15.985739842631332,-156.53559774527022,5.346255294035914,0.3035539869409334,0.22290276957506538,0.004174882703730238
10-Apr-2025 12:06:30,LEO35,-9.29983351630208,-79.87452082771567,0.16026742034765018,0.3644179493221232,0.4554657501785928,0.0050471954169384655,LEO35,17.150809024447806,-156.53559774527022,5.724914048208156,0.27640564581050886,0.14419932042810607,0.004095124428029479
10-Apr-2025 12:07:00,LEO35,-10.673742412185733,-79.06848933289535,0.11853244492045611,0.3264551271157675,0.3031589456626219,0.005075704425817585,LEO35,16.750153282043172,-156.53559774527022,5.5944528809203815,0.28651133239587256,0.17123593978109614,0.0041226168745651165
10-Apr-2025 12:07:30,LEO35,-7.010114776828744,-81.0989204633759,0.2619063460059632,0.31568561638207576,0.26400405050908293,0.004991217574385877,LEO35,-1.7561098153728636,-73.49086935006963,0.7376039848592599,0.19130750928945583,0.01864053629473176,0.004255271694955073
10-Apr-2025 12:08:00,LEO35,-6.634951911240749,-81.60984807421437,0.28335586821395786,0.35901949966907887,0.43290765981449914,0.004994778489340029,LEO35,-0.20025347317336642,-75.5291059311871,0.9671220052370324,0.3210561230917391,0.2832376466013781,0.0042839155838526885
10-Apr-2025 12:08:30,LEO35,-9.1495663201573,-81.0121660927332,0.16559780110089095,0.3645338495437694,0.45595171424814984,0.0050861790625665515,LEO35,-0.19180635511692534,-73.62909528123929,0.9684933817476974,0.28615347300384597,0.17023178419227789,0.004158189351931275
10-Apr-2025 12:09:00,LEO35,-10.786423757994715,-81.42841379011995,0.11561499539789226,0.36616792791951763,0.46280933716465505,0.007905509477379835,LEO35,-0.23954000522493582,-73.26364350872052,0.9607618173206243,0.001003367402393079,1.0959515373335575e-21,0.004137009228227964
